id,name,nameEn
1,An Giang,An Giang
2,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau
3,Bắc Giang,Bac Giang
4,Bắc Kạn,Bac Kan
5,Bạc Liêu,Bac Lieu
6,Bắc Ninh,Bac Ninh
7,Bến Tre,Ben Tre
8,Bình Định,Binh Dinh
9,Bình Dương,Binh Duong
10,Bình Phước,Binh Phuoc
11,Bình Thuận,Binh Thuan
12,Cà Mau,Ca Mau
13,Cần Thơ,Can Tho
14,Cao Bằng,Cao Bang
15,Đà Nẵng,Da Nang
16,Đắk Lắk,Dak Lak
17,Đắk Nông,Dak Nong
18,ĐBSCL,Mekong Delta
19,Điện Biên,Dien Bien
20,Đồng Nai,Dong Nai
21,Đồng Tháp,Dong Thap
22,Gia Lai,Gia Lai
23,Hà Giang,Ha Giang
24,Hà Nam,Ha Nam
25,Hà Nội,Ha Noi
26,Hà Tĩnh,Ha Tinh
27,Hải Dương,Hai Duong
28,Hải Phòng,Hai Phong
29,Hậu Giang,Hau Giang
30,Hòa Bình,Hoa Binh
31,Hưng Yên,Hung Yen
32,Khác,Other
33,Khánh Hòa,Khanh Hoa
34,Kiên Giang,Kien Giang
35,Kon Tum,Kon Tum
36,Lai Châu,Lai Chau
37,Lâm Đồng,Lam Dong
38,Lạng Sơn,Lang Son
39,Lào Cai,Lao Cai
40,Long An,Long An
41,Miền Bắc,North Vietnam
42,Miền Nam,South Vietnam
43,Miền Trung,Central Vietnam
44,Nam Định,Nam Dinh
45,Nghệ An,Nghe An
46,Ninh Bình,Ninh Binh
47,Ninh Thuận,Ninh Thuan
49,Phú Thọ,Phu Tho
50,Phú Yên,Phu Yen
51,Quảng Bình,Quang Binh
52,Quảng Nam,Quang Nam
53,Quảng Ngãi,Quang Ngai
54,Quảng Ninh,Quang Ninh
55,Quảng Trị,Quang Tri
56,Quốc tế,International
57,Sóc Trăng,Soc Trang
58,Sơn La,Son La
59,Tây Ninh,Tay Ninh
60,Thái Bình,Thai Binh
61,Thái Nguyên,Thai Nguyen
62,Thanh Hóa,Thanh Hoa
63,Thừa Thiên Huế,Thua Thien Hue
64,Tiền Giang,Tien Giang
65,Toàn quốc,Nationwide
66,TP.HCM,Ho Chi Minh
67,Trà Vinh,Tra Vinh
68,Tuyên Quang,Tuyen Quang
69,Vĩnh Long,Vinh Long
70,Vĩnh Phúc,Vinh Phuc
71,Yên Bái,Yen Bai